t,x0,x1,x2,x3,x4,x5,x6,x7
1.150457477569580078e+01,5.067037791013717651e-02,-1.380876544862985611e-02,2.100152050843462348e-04,-1.578509109094738960e-04,1.414893716573715210e-01,-2.519992925226688385e-02,7.957874238491058350e-02,-1.848866790533065796e-02
1.150557518005371094e+01,5.065656825900077820e-02,-1.380500290542840958e-02,2.098573604598641396e-04,-1.577329239808022976e-04,1.414641737937927246e-01,-2.519543468952178955e-02,7.956025004386901855e-02,-1.848437078297138214e-02
1.150657558441162109e+01,5.064276233315467834e-02,-1.380124129354953766e-02,2.096996322507038713e-04,-1.576150243636220694e-04,1.414389759302139282e-01,-2.519094198942184448e-02,7.954176515340805054e-02,-1.848007552325725555e-02
1.150757503509521484e+01,5.062896013259887695e-02,-1.379748061299324036e-02,2.095420204568654299e-04,-1.574972120579332113e-04,1.414137780666351318e-01,-2.518644928932189941e-02,7.952328771352767944e-02,-1.847578026354312897e-02
1.150857543945312500e+01,5.061516165733337402e-02,-1.379372086375951767e-02,2.093845250783488154e-04,-1.573794870637357235e-04,1.413885951042175293e-01,-2.518195845186710358e-02,7.950481027364730835e-02,-1.847148686647415161e-02
1.150957584381103516e+01,5.060136690735816956e-02,-1.378996204584836960e-02,2.092271461151540279e-04,-1.572618493810296059e-04,1.413634121417999268e-01,-2.517746761441230774e-02,7.948634028434753418e-02,-1.846719533205032349e-02
1.151057529449462891e+01,5.058757588267326355e-02,-1.378620415925979614e-02,2.090698835672810674e-04,-1.571442990098148584e-04,1.413382291793823242e-01,-2.517297863960266113e-02,7.946787029504776001e-02,-1.846290379762649536e-02
1.151157569885253906e+01,5.057378858327865601e-02,-1.378244720399379730e-02,2.089127374347299337e-04,-1.570268359500914812e-04,1.413130611181259155e-01,-2.516848966479301453e-02,7.944940775632858276e-02,-1.845861412584781647e-02
1.151257610321044922e+01,5.056000500917434692e-02,-1.377869118005037308e-02,2.087557077175006270e-04,-1.569094602018594742e-04,1.412878930568695068e-01,-2.516400068998336792e-02,7.943095266819000244e-02,-1.845432445406913757e-02
1.151357555389404297e+01,5.054622516036033630e-02,-1.377493701875209808e-02,2.085987944155931473e-04,-1.567921863170340657e-04,1.412627249956130981e-01,-2.515951357781887054e-02,7.941249758005142212e-02,-1.845003664493560791e-02
1.151457595825195312e+01,5.053244903683662415e-02,-1.377118378877639771e-02,2.084419975290074944e-04,-1.566749851917847991e-04,1.412375718355178833e-01,-2.515502646565437317e-02,7.939404994249343872e-02,-1.844574883580207825e-02
1.151557540893554688e+01,5.051867663860321045e-02,-1.376743149012327194e-02,2.082853170577436686e-04,-1.565578859299421310e-04,1.412124186754226685e-01,-2.515054121613502502e-02,7.937560230493545532e-02,-1.844146288931369781e-02
1.151657581329345703e+01,5.050490796566009521e-02,-1.376368012279272079e-02,2.081287530018016696e-04,-1.564408594276756048e-04,1.411872655153274536e-01,-2.514605596661567688e-02,7.935716211795806885e-02,-1.843717694282531738e-02
1.151757621765136719e+01,5.049114301800727844e-02,-1.375992968678474426e-02,2.079723053611814976e-04,-1.563239202369004488e-04,1.411621123552322388e-01,-2.514157257974147797e-02,7.933872193098068237e-02,-1.843289285898208618e-02
1.151857566833496094e+01,5.047738179564476013e-02,-1.375618018209934235e-02,2.078159886877983809e-04,-1.562070683576166630e-04,1.411369740962982178e-01,-2.513708919286727905e-02,7.932028919458389282e-02,-1.842860877513885498e-02
1.151957607269287109e+01,5.046362429857254028e-02,-1.375243160873651505e-02,2.076597884297370911e-04,-1.560903183417394757e-04,1.411118358373641968e-01,-2.513260580599308014e-02,7.930186390876770020e-02,-1.842432655394077301e-02
1.152057647705078125e+01,5.044987052679061890e-02,-1.374868396669626236e-02,2.075037045869976282e-04,-1.559736556373536587e-04,1.410866975784301758e-01,-2.512812428176403046e-02,7.928343862295150757e-02,-1.842004433274269104e-02
1.152157592773437500e+01,5.043612048029899597e-02,-1.374493725597858429e-02,2.073477371595799923e-04,-1.558570656925439835e-04,1.410615742206573486e-01,-2.512364275753498077e-02,7.926502078771591187e-02,-1.841576397418975830e-02
1.152257633209228516e+01,5.042237415909767151e-02,-1.374119147658348083e-02,2.071918861474841833e-04,-1.557405776111409068e-04,1.410364508628845215e-01,-2.511916309595108032e-02,7.924660295248031616e-02,-1.841148547828197479e-02
1.152357578277587891e+01,5.040863156318664551e-02,-1.373744662851095200e-02,2.070361515507102013e-04,-1.556241622893139720e-04,1.410113275051116943e-01,-2.511468343436717987e-02,7.922819256782531738e-02,-1.840720698237419128e-02
1.152457618713378906e+01,5.039489269256591797e-02,-1.373370364308357239e-02,2.068805333692580462e-04,-1.555078342789784074e-04,1.409862190485000610e-01,-2.511020377278327942e-02,7.920978218317031860e-02,-1.840293034911155701e-02
1.152557659149169922e+01,5.038115754723548889e-02,-1.372996158897876740e-02,2.067250316031277180e-04,-1.553915935801342130e-04,1.409611105918884277e-01,-2.510572597384452820e-02,7.919137924909591675e-02,-1.839865371584892273e-02
1.152657604217529297e+01,5.036742612719535828e-02,-1.372622046619653702e-02,2.065696462523192167e-04,-1.552754401927813888e-04,1.409360021352767944e-01,-2.510124817490577698e-02,7.917298376560211182e-02,-1.839437894523143768e-02
1.152757644653320312e+01,5.035369843244552612e-02,-1.372248027473688126e-02,2.064143773168325424e-04,-1.551593741169199347e-04,1.409108936786651611e-01,-2.509677223861217499e-02,7.915458828210830688e-02,-1.839010417461395264e-02
1.152857685089111328e+01,5.033997446298599243e-02,-1.371874101459980011e-02,2.062592247966676950e-04,-1.550433953525498509e-04,1.408858001232147217e-01,-2.509229630231857300e-02,7.913620024919509888e-02,-1.838583126664161682e-02
1.152957630157470703e+01,5.032625421881675720e-02,-1.371500268578529358e-02,2.061041741399094462e-04,-1.549275038996711373e-04,1.408607065677642822e-01,-2.508782222867012024e-02,7.911781221628189087e-02,-1.838155835866928101e-02
1.153057670593261719e+01,5.031253769993782043e-02,-1.371126528829336166e-02,2.059492398984730244e-04,-1.548116997582837939e-04,1.408356130123138428e-01,-2.508334815502166748e-02,7.909943163394927979e-02,-1.837728731334209442e-02
1.153157615661621094e+01,5.029882490634918213e-02,-1.370752882212400436e-02,2.057944220723584294e-04,-1.546959829283878207e-04,1.408105343580245972e-01,-2.507887408137321472e-02,7.908105105161666870e-02,-1.837301626801490784e-02
1.153257656097412109e+01,5.028511583805084229e-02,-1.370379328727722168e-02,2.056397206615656614e-04,-1.545803534099832177e-04,1.407854557037353516e-01,-2.507440187036991119e-02,7.906267791986465454e-02,-1.836874708533287048e-02
1.153357696533203125e+01,5.027141049504280090e-02,-1.370005868375301361e-02,2.054851356660947204e-04,-1.544648112030699849e-04,1.407603770494461060e-01,-2.506992965936660767e-02,7.904431223869323730e-02,-1.836447790265083313e-02
1.153457641601562500e+01,5.025770887732505798e-02,-1.369632501155138016e-02,2.053306670859456062e-04,-1.543493563076481223e-04,1.407353132963180542e-01,-2.506545931100845337e-02,7.902594655752182007e-02,-1.836021058261394501e-02
